order порядок
expect ожидать
arrival прибытие
therefore следовательно
propose предлагать
image образ
delay задержка
important важный
investigation расследование
deceleration замедление
capability способность
lateral боковой
moderator замедлитель
converter преобразователь
exception исключение
light-tight светонепроницаемый
groove выемка
pasted приклеен
gather_up собрать
pass пройти
polish полировать
cause вызывать
occur происходить
recognize распознавать
distinctive характерный
carry_out выполнять
lead вести
intensity интенсивность
spill проливать
incoming входящий
almost почти
simultaneously одновременно
shift сдвигать
besides кроме
coincide совпадать
downstream вниз_по_течению
decrease уменьшение
variation отклонение
transverse поперечный
evidence свидетельство
accomplish выполнить
equilibrium равновесие
establish учреждать
withstand выдерживать
carbon углерод
average средний
appearance внешность
qualitative качественный
clog засорять
fear страх
